id,Country,accomodation_5,accomodation_4,accomodation_3,accomodation_2,accomodation_1,accomodation,food_expensive,food,alcohol,culture,transportation,transportation_taxi,shopping,average_accomodation,average_food,average_transportation,average_food_x2,total_average,total_expensive,total_cheap
ZAF,South Africa,327.59,244.83,117.24,91.95,66.67,19.54,18.62,4.83,1.84,12.64,2.76,6.21,40.81,144.64,11.73,4.49,23.45,213.38,407.71,82.42
KOR,South Korea,286.21,168.97,112.64,94.25,91.95,22.99,18.79,6.44,3.22,22.99,2.53,7.59,61.98,129.5,12.62,05.06,25.23,232.87,400.78,120.15
ESP,Spain,188.51,82.76,50.57,49.43,47.13,19.54,31.38,10.23,3.1,19.54,4.6,9.66,46.86,72.99,20.81,7.13,41.61,163.88,299.05,103.87
LKA,Sri Lanka,126.44,81.61,49.43,42.53,20.69,0,8.79,5.29,1.61,11.26,0.46,2.76,28.14,53.45,07.04,1.61,14.08,99.29,179,46.76
SDN,Sudan,0,0,0,0,0,0,8.39,12.53,1.26,0,1.61,1.38,139.53,0,10.46,1.5,20.92,145.28,150.56,154.93
SUR,Suriname,164.37,137.93,71.26,34.48,0,0,17.24,6.9,02.07,0,0.92,20.69,52.67,68.01,12.07,10.81,24.14,155.16,257.04,62.56
SWZ,Swaziland,0,127.59,0,21.84,0,0,11.95,3.68,1.15,0,1.15,35.17,37.67,24.91,7.82,18.16,15.63,118.21,85.94,43.65
SWE,Sweden,211.49,137.93,124.14,91.95,66.67,33.33,43.97,11.38,8.85,14.94,8.74,12.41,57.79,110.92,27.68,10.58,55.35,224.22,349.45,135.03
CHE,Switzerland,352.87,182.76,149.43,119.54,100,47.13,64.54,16.78,7.7,43.68,8.51,28.28,68.95,158.62,40.66,18.4,81.32,334.14,566.02,192.75
SYR,Syria,0,0,0,0,0,0,13.33,06.09,1.72,0,0.46,02.07,80.93,0,9.71,1.27,19.42,86.45,98.05,89.2
TWN,Taiwan,385.06,131.03,73.56,54.02,17.24,0,11.38,4.71,1.84,10.34,1.15,4.83,55.23,110.15,08.05,2.99,16.09,186.53,468.68,73.27
TJK,Tajikistan,139.08,64.37,40.23,0,0,0,7.18,8.39,2.41,2.99,0.69,3.45,47.44,40.61,7.79,02.07,15.57,99.66,202.55,61.92
TZA,Tanzania,128.74,112.64,96.55,54.02,49.43,0,07.07,08.05,1.38,27.59,0.46,10.34,37.67,73.56,7.56,5.4,15.12,156.4,212.79,75.15
THA,Thailand,180.46,90.8,47.13,34.48,33.33,13.79,9.25,5.29,02.07,16.09,1.38,0.69,44.19,66.67,7.27,01.04,14.54,132.12,252.75,82.81
BHS,The Bahamas,425.29,245.98,237.93,80.46,48.28,0,45.98,6.9,4.37,25.29,2.76,6.9,108.49,172.99,26.44,4.83,52.88,325.63,616.32,147.81
TTO,Trinidad and T,206.9,185.06,143.68,88.51,0,0,22.53,7.24,1.84,0,2.53,5.52,52.67,104.03,14.89,04.03,29.77,170.61,289.46,64.28
TUN,Tunisia,94.25,55.17,54.02,35.63,18.39,24.14,10.86,5.75,1.84,0,0.92,2.76,70.47,46.93,8.31,1.84,16.61,124.76,180.18,103.12
TUR,Turkey,80.46,60.92,44.83,40.23,28.74,28.74,12.87,6.21,3.56,5.4,02.07,6.21,40.81,47.32,9.54,4.14,19.08,109.51,149.31,86.79
TKM,Turkmenistan,0,0,0,0,0,0,14.37,10.34,2.87,0,0.23,0.69,104.65,0,12.36,0.46,24.71,108.9,122.58,118.09
UGA,Uganda,248.28,163.22,151.72,112.64,39.08,0,9.14,7.36,1.38,17.24,0.92,6.9,33.6,119.16,8.25,3.91,16.5,183.11,316.54,60.5
UKR,Ukraine,290.8,87.36,45.98,35.63,24.14,10.34,14.37,4.6,0.92,02.07,0.46,02.07,57.79,82.38,9.49,1.27,18.97,146.95,368.02,76.18
ARE,United Arab Em,251.72,178.16,121.84,81.61,27.59,0,23.45,6.32,9.43,4.6,2.53,3.45,60.47,110.15,14.89,2.99,29.77,193.62,353.12,83.35
GBR,United Kingdom,511.49,134.48,106.9,81.61,73.56,51.72,42.07,9.54,5.75,29.89,08.05,15.86,59.77,159.96,25.81,11.96,51.61,291.24,664.83,164.72
USA,United States,289.66,210.34,178.16,147.13,117.24,48.28,25.86,6.9,3.79,48.28,4.6,11.03,42.09,165.14,16.38,7.82,32.76,282.74,420.71,153.94
URY,Uruguay,105.75,87.36,73.56,67.82,42.53,0,24.89,10.23,2.76,8.39,02.07,15.17,92.33,62.84,17.56,8.62,35.12,192.18,249.29,115.78
UZB,Uzbekistan,67.82,66.67,44.83,40.23,29.89,0,14.37,4.6,1.15,0,0.69,1.38,102.33,41.57,9.49,01.04,18.97,148.16,187.05,108.77
VUT,Vanuatu,239.08,198.85,58.62,39.08,12.64,0,15,6.55,4.83,0,3.68,0,0,91.38,10.78,1.84,21.55,101.73,258.91,15.06
VEN,Venezuela,82.76,81.61,0,0,14.94,0,40.17,17.24,3.22,0,02.07,17.24,141.63,29.89,28.71,9.66,57.41,203.7,285.02,164.16
VNM,Vietnam,139.08,117.24,54.02,24.14,10.34,0,8.16,4.37,01.03,10.23,0.46,4.14,30.12,57.47,6.27,2.3,12.53,105.75,192.76,46.21
YEM,Yemen,0,0,0,0,0,0,8.62,08.05,5.75,0,0.46,6.9,40.7,0,8.34,3.68,16.67,57.49,61.97,54.96
ZMB,Zambia,208.05,158.62,40.23,29.89,0,0,25.34,11.49,2.18,55.17,1.15,13.79,23.26,72.8,18.42,7.47,36.83,175.82,327.79,93.25
ZWE,Zimbabwe,419.54,160.92,134.48,83.91,59.77,0,17.24,9.2,1.38,0,1.84,6.9,23.26,143.1,13.22,4.37,26.44,180.85,468.32,35.68
